Line#,Date,"Water Content (RXW-GP4A 21474793:22221785-3), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22221785-4), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22221785-9), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-10), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-5), *C, Soap","Water Content (RXW-GP4A 21474793:22221785-2), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22221785-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22221785-8), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-6), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-7), *C, Soap","Water Content (RXW-GP4A 21474793:22125551-4), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22125551-3), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22094718-10), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-9), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-5), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22094718-8), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-6), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-9), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-8), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-7), *C, Soap","Water Content (RXW-GP4A 21474793:22125551-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22125551-5), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-10), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-4), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22094718-2), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22125551-2), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22125551-6), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-7), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-3), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124508-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-11), *C, Soap","Water Content (RXW-GP4 21474793:21124508-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-10), *C, Soap","Temperature (RXW-GP4 21474793:21124508-6), *C, Soap","Water Content (RXW-GP4 21474793:21124508-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-8), *C, Soap","Water Content (RXW-GP4 21474793:21124508-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-7), *C, Soap","Temperature (RXW-GP4 21474793:21124508-5), *C, Soap","Temperature (RXW-GP4 21474793:21124508-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-10), *C, Soap","Temperature (RXW-GP4 21474793:21124505-5), *C, Soap","Temperature (RXW-GP4 21474793:21124505-11), *C, Soap","Temperature (RXW-GP4 21474793:21124505-6), *C, Soap","Water Content (RXW-GP4 21474793:21124505-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124505-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-7), *C, Soap","Temperature (RXW-GP4 21474793:21124505-8), *C, Soap"
11,01/16/25 04:10:00,,,,,,,,,,,0.164,0.043,7.3,6.6,5.5,0.065,5.9,6.4,8.8,7.6,7.0,0.068,6.5,9.4,0.208,0.049,0.101,7.4,6.1,0.099,0.371,7.5,0.439,7.0,3.5,0.312,5.6,0.382,4.6,3.1,6.3,0.460,6.5,0.281,6.6,3.5,7.5,3.8,0.271,0.377,4.7,5.3
12,01/16/25 04:15:00,,,,,,,,,,,0.164,0.043,7.3,6.6,5.5,0.066,5.8,6.4,8.8,7.6,7.0,0.069,6.4,9.4,0.208,0.049,0.101,7.3,6.1,0.099,0.371,7.5,0.439,7.0,3.6,0.311,5.6,0.382,4.6,3.1,6.3,0.460,6.3,0.281,6.6,3.5,7.5,3.8,0.271,0.377,4.7,5.3
13,01/16/25 04:20:00,,,,,,,,,,,0.164,0.043,7.3,6.6,5.4,0.066,5.8,6.4,8.9,7.6,7.0,0.068,6.4,9.4,0.208,0.049,0.101,7.3,6.1,0.099,0.371,7.5,0.439,7.0,3.5,0.312,5.6,0.384,4.6,3.0,6.3,0.460,6.5,0.281,6.6,3.5,7.5,3.8,0.272,0.377,4.7,5.3
14,01/16/25 04:25:00,,,,,,,,,,,0.164,0.043,7.3,6.6,5.3,0.066,5.9,6.4,8.8,7.6,7.0,0.068,6.3,9.4,0.208,0.049,0.101,7.3,6.1,0.099,0.371,7.5,0.439,7.1,3.6,0.311,5.6,0.382,4.6,3.1,6.3,0.460,6.3,0.281,6.6,3.5,7.3,3.8,0.271,0.377,4.7,5.5
15,01/16/25 04:30:00,,,,,,,,,,,0.164,0.043,7.3,6.8,5.3,0.066,5.9,6.3,8.8,7.6,7.0,0.068,6.3,9.4,0.208,0.049,0.101,7.3,6.1,0.099,0.371,7.5,0.439,7.0,3.6,0.311,5.6,0.384,4.6,3.0,6.3,0.460,6.5,0.281,6.6,3.5,7.5,4.0,0.272,0.377,4.7,5.5
16,01/16/25 04:35:00,,,,,,,,,,,0.164,0.043,7.3,6.8,5.3,0.066,5.9,6.3,8.8,7.6,7.0,0.068,6.1,9.4,0.208,0.049,0.101,7.3,6.1,0.099,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.382,4.6,3.0,6.3,0.460,6.3,0.281,6.6,3.5,7.5,3.8,0.272,0.377,4.7,5.3
17,01/16/25 04:40:00,,,,,,,,,,,0.164,0.043,7.3,6.6,5.1,0.066,5.9,6.3,8.8,7.8,7.0,0.068,6.1,9.4,0.208,0.049,0.101,7.1,6.1,0.099,0.371,7.5,0.439,7.0,3.5,0.312,5.6,0.382,4.6,3.0,6.3,0.460,6.5,0.281,6.6,3.5,7.5,3.8,0.272,0.377,4.7,5.3
18,01/16/25 04:45:00,,,,,,,,,,,0.164,0.043,7.3,6.8,5.1,0.066,5.9,6.3,8.8,7.6,7.0,0.068,6.1,9.4,0.208,0.049,0.101,7.1,6.1,0.099,0.371,7.5,0.439,7.0,3.5,0.312,5.6,0.382,4.6,3.0,6.3,0.460,6.5,0.281,6.6,3.3,7.3,3.8,0.272,0.377,4.7,5.5
19,01/16/25 04:50:00,,,,,,,,,,,0.164,0.043,7.3,6.8,5.0,0.066,5.9,6.1,8.9,7.8,7.0,0.068,6.0,9.4,0.208,0.049,0.101,7.1,6.1,0.099,0.371,7.5,0.439,7.0,3.6,0.311,5.6,0.384,4.6,3.0,6.3,0.460,6.3,0.281,6.6,3.5,7.5,4.0,0.272,0.377,4.7,5.3
20,01/16/25 04:55:00,,,,,,,,,,,0.164,0.043,7.3,6.8,5.0,0.066,5.9,6.1,8.8,7.8,7.0,0.068,6.0,9.4,0.208,0.049,0.101,7.1,6.1,0.099,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.382,4.6,3.0,6.3,0.460,6.3,0.281,6.6,3.3,7.5,3.8,0.272,0.377,4.7,5.3
21,01/16/25 05:00:00,,,,,,,,,,,0.164,0.043,7.3,6.8,4.9,0.066,5.9,6.1,8.8,7.8,7.0,0.068,6.0,9.4,0.208,0.049,0.101,7.1,6.1,0.099,0.371,7.5,0.439,7.0,3.6,0.312,5.6,0.382,4.6,3.0,6.3,0.460,6.3,0.281,6.6,3.3,7.5,3.8,0.272,0.377,4.7,5.5
22,01/16/25 05:05:00,,,,,,,,,,,0.164,0.043,7.3,6.8,4.9,0.066,5.9,6.1,8.8,7.8,7.0,0.068,5.9,9.4,0.208,0.049,0.101,7.1,6.1,0.099,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.382,4.6,3.0,6.1,0.460,6.3,0.281,6.6,3.3,7.5,3.8,0.272,0.379,4.7,5.3
23,01/16/25 05:10:00,,,,,,,,,,,0.164,0.043,7.3,6.6,4.8,0.066,5.9,6.0,8.8,7.8,7.0,0.068,5.9,9.4,0.208,0.049,0.101,7.0,6.1,0.100,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.382,4.7,3.0,6.3,0.460,6.5,0.281,6.6,3.3,7.3,3.8,0.272,0.377,4.7,5.3
24,01/16/25 05:15:00,,,,,,,,,,,0.164,0.043,7.3,6.6,4.8,0.066,5.9,6.0,8.8,7.8,7.0,0.068,5.8,9.4,0.208,0.049,0.101,7.0,6.1,0.100,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.382,4.6,3.0,6.3,0.460,6.5,0.281,6.6,3.3,7.3,3.8,0.272,0.377,4.7,5.3
25,01/16/25 05:20:00,,,,,,,,,,,0.164,0.043,7.3,6.6,4.6,0.066,6.0,6.0,8.8,7.8,7.0,0.068,5.8,9.4,0.208,0.049,0.101,7.0,6.1,0.099,0.371,7.5,0.439,7.0,3.5,0.312,5.6,0.382,4.7,3.0,6.3,0.460,6.5,0.281,6.6,3.3,7.5,3.8,0.272,0.377,4.7,5.3
26,01/16/25 05:25:00,,,,,,,,,,,0.164,0.043,7.3,6.8,4.6,0.066,5.9,6.0,8.9,7.8,7.0,0.068,5.8,9.4,0.208,0.049,0.101,7.0,6.1,0.100,0.371,7.5,0.439,7.0,3.6,0.311,5.6,0.382,4.6,3.0,6.1,0.460,6.3,0.281,6.6,3.3,7.5,3.8,0.272,0.377,4.7,5.3
27,01/16/25 05:30:00,,,,,,,,,,,0.164,0.043,7.3,6.8,4.6,0.066,5.9,5.9,8.9,7.8,7.0,0.068,5.8,9.4,0.208,0.049,0.100,6.9,6.1,0.100,0.371,7.5,0.439,7.0,3.6,0.311,5.6,0.382,4.7,3.0,6.3,0.460,6.3,0.281,6.6,3.3,7.3,4.0,0.272,0.377,4.7,5.3
28,01/16/25 05:35:00,,,,,,,,,,,0.164,0.043,7.3,6.8,4.5,0.066,5.9,5.9,8.8,7.8,7.1,0.068,5.6,9.5,0.208,0.049,0.100,6.9,6.1,0.099,0.371,7.5,0.439,7.0,3.6,0.311,5.6,0.382,4.6,3.0,6.3,0.460,6.3,0.281,6.6,3.3,7.3,4.0,0.272,0.377,4.7,5.3
29,01/16/25 05:40:00,,,,,,,,,,,0.164,0.043,7.3,6.8,4.5,0.067,5.9,5.9,8.8,7.8,7.0,0.068,5.6,9.4,0.208,0.049,0.100,6.9,6.1,0.100,0.371,7.5,0.439,7.0,3.6,0.311,5.6,0.382,4.6,3.0,6.3,0.460,6.5,0.281,6.6,3.3,7.3,3.8,0.272,0.377,4.7,5.5
30,01/16/25 05:45:00,,,,,,,,,,,0.164,0.043,7.3,6.8,4.4,0.067,5.9,5.8,8.8,7.8,7.0,0.068,5.5,9.4,0.208,0.049,0.100,6.9,6.1,0.099,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.382,4.7,3.0,6.3,0.460,6.3,0.281,6.6,3.3,7.3,3.8,0.272,0.377,4.7,5.3
31,01/16/25 05:50:00,,,,,,,,,,,0.164,0.043,7.3,6.8,4.4,0.066,6.0,5.8,8.9,7.8,7.0,0.068,5.5,9.4,0.208,0.049,0.100,6.9,6.1,0.100,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.382,4.7,3.0,6.1,0.460,6.5,0.281,6.6,3.3,7.3,3.8,0.272,0.377,4.7,5.3
32,01/16/25 05:55:00,,,,,,,,,,,0.164,0.043,7.3,6.8,4.3,0.067,6.0,5.8,8.9,7.9,7.0,0.068,5.5,9.4,0.208,0.049,0.100,6.9,6.0,0.099,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.382,4.7,3.0,6.3,0.460,6.3,0.281,6.6,3.2,7.5,3.8,0.272,0.377,4.7,5.5
33,01/16/25 06:00:00,,,,,,,,,,,0.164,0.043,7.3,6.8,4.4,0.066,6.0,5.8,8.9,7.8,7.0,0.068,5.4,9.4,0.208,0.049,0.100,6.8,6.0,0.100,0.371,7.5,0.439,7.0,3.6,0.311,5.6,0.382,4.7,3.0,6.3,0.460,6.5,0.281,6.6,3.3,7.5,3.8,0.272,0.377,4.7,5.5
34,01/16/25 06:05:00,,,,,,,,,,,0.164,0.043,7.3,6.8,4.1,0.067,6.0,5.6,8.8,7.8,7.0,0.068,5.4,9.4,0.208,0.049,0.100,6.8,6.1,0.099,0.371,7.5,0.439,7.0,3.5,0.312,5.6,0.382,4.6,2.8,6.1,0.460,6.5,0.281,6.6,3.2,7.3,3.8,0.272,0.377,4.7,5.3
35,01/16/25 06:10:00,,,,,,,,,,,0.164,0.043,7.3,6.8,4.3,0.067,6.0,5.6,8.8,7.9,7.0,0.068,5.4,9.4,0.208,0.049,0.100,6.8,6.0,0.099,0.371,7.5,0.439,7.0,3.5,0.312,5.6,0.382,4.7,2.8,6.3,0.460,6.3,0.281,6.6,3.2,7.3,3.8,0.272,0.377,4.7,5.5
36,01/16/25 06:15:00,,,,,,,,,,,0.164,0.043,7.3,6.8,4.1,0.067,6.0,5.6,8.9,7.8,7.0,0.068,5.3,9.4,0.208,0.049,0.100,6.6,6.0,0.100,0.371,7.5,0.439,7.0,3.6,0.312,5.6,0.382,4.7,2.8,6.3,0.460,6.3,0.281,6.6,3.2,7.5,3.8,0.272,0.377,4.7,5.5
37,01/16/25 06:20:00,,,,,,,,,,,0.164,0.043,7.3,6.6,4.1,0.067,6.0,5.6,8.8,7.8,7.0,0.068,5.3,9.4,0.208,0.049,0.100,6.8,6.0,0.100,0.371,7.5,0.439,7.0,3.6,0.312,5.6,0.382,4.6,2.8,6.3,0.460,6.3,0.281,6.6,3.2,7.3,3.8,0.272,0.377,4.7,5.3
38,01/16/25 06:25:00,,,,,,,,,,,0.164,0.043,7.3,6.8,4.0,0.067,6.0,5.5,8.9,7.9,7.0,0.068,5.3,9.4,0.208,0.049,0.100,6.6,6.1,0.100,0.371,7.5,0.439,7.0,3.6,0.312,5.6,0.382,4.7,2.8,6.3,0.460,6.3,0.281,6.6,3.2,7.3,4.0,0.272,0.377,4.7,5.5
39,01/16/25 06:30:00,,,,,,,,,,,0.164,0.043,7.3,6.8,4.0,0.067,6.0,5.5,8.8,7.8,7.0,0.068,5.3,9.4,0.208,0.049,0.100,6.6,6.0,0.099,0.371,7.5,0.439,7.0,3.6,0.311,5.6,0.382,4.7,2.8,6.1,0.460,6.5,0.281,6.6,3.2,7.5,3.8,0.272,0.377,4.7,5.5
40,01/16/25 06:35:00,,,,,,,,,,,0.164,0.043,7.3,6.8,4.0,0.067,6.0,5.4,8.9,7.9,7.0,0.068,5.1,9.4,0.208,0.049,0.100,6.6,6.0,0.100,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.384,4.7,2.8,6.3,0.460,6.3,0.281,6.6,3.2,7.5,4.0,0.272,0.377,4.7,5.5
41,01/16/25 06:40:00,,,,,,,,,,,0.164,0.043,7.3,6.8,3.9,0.067,6.0,5.5,8.8,7.9,7.0,0.068,5.1,9.4,0.208,0.049,0.100,6.6,6.0,0.099,0.371,7.5,0.439,7.0,3.5,0.312,5.7,0.382,4.6,2.8,6.1,0.460,6.3,0.281,6.6,3.2,7.5,3.8,0.272,0.377,4.7,5.5
42,01/16/25 06:45:00,,,,,,,,,,,0.164,0.043,7.3,6.8,3.9,0.067,6.0,5.4,8.8,7.9,7.0,0.068,5.1,9.4,0.208,0.049,0.100,6.5,6.0,0.100,0.371,7.5,0.439,7.0,3.6,0.312,5.6,0.382,4.7,2.8,6.3,0.460,6.3,0.281,6.6,3.2,7.5,4.0,0.272,0.377,4.7,5.3
43,01/16/25 06:50:00,,,,,,,,,,,0.164,0.043,7.3,6.8,3.8,0.067,6.0,5.4,8.9,7.9,7.0,0.068,5.0,9.4,0.208,0.049,0.100,6.5,6.0,0.100,0.371,7.5,0.439,7.0,3.6,0.312,5.6,0.382,4.7,2.8,6.1,0.460,6.3,0.281,6.6,3.2,7.3,3.8,0.272,0.377,4.8,5.5
44,01/16/25 06:55:00,,,,,,,,,,,0.164,0.043,7.3,6.8,3.8,0.067,6.0,5.4,8.8,7.9,7.0,0.068,5.0,9.4,0.208,0.049,0.100,6.5,6.0,0.100,0.371,7.5,0.439,7.0,3.6,0.312,5.6,0.382,4.6,2.8,6.3,0.460,6.3,0.281,6.6,3.2,7.3,4.0,0.272,0.377,4.7,5.5
45,01/16/25 07:00:00,,,,,,,,,,,0.164,0.043,7.3,6.8,3.8,0.067,6.0,5.4,8.8,7.9,7.0,0.068,5.0,9.4,0.208,0.049,0.100,6.5,6.0,0.100,0.371,7.5,0.439,7.0,3.5,0.312,5.6,0.382,4.7,2.8,6.3,0.460,6.3,0.281,6.6,3.2,7.3,3.8,0.272,0.377,4.7,5.3
46,01/16/25 07:05:00,,,,,,,,,,,0.164,0.043,7.3,6.8,3.8,0.067,6.0,5.3,8.9,7.9,7.0,0.068,5.0,9.4,0.208,0.049,0.100,6.5,6.0,0.100,0.371,7.5,0.439,7.0,3.6,0.312,5.6,0.384,4.7,2.8,6.3,0.460,6.5,0.281,6.6,3.2,7.5,4.0,0.272,0.377,4.7,5.3
47,01/16/25 07:10:00,,,,,,,,,,,0.164,0.043,7.3,6.8,3.6,0.067,6.0,5.3,8.8,7.9,7.0,0.068,4.9,9.4,0.208,0.048,0.100,6.5,6.0,0.100,0.371,7.5,0.439,7.0,3.5,0.312,5.6,0.382,4.7,2.8,6.3,0.460,6.3,0.281,6.6,3.1,7.5,3.8,0.272,0.377,4.7,5.5
48,01/16/25 07:15:00,,,,,,,,,,,0.164,0.043,7.3,6.8,3.6,0.067,6.0,5.3,8.8,7.9,7.0,0.068,4.9,9.5,0.208,0.049,0.100,6.4,6.0,0.100,0.371,7.5,0.439,7.0,3.5,0.312,5.6,0.382,4.7,2.8,6.1,0.460,6.5,0.281,6.6,3.2,7.3,3.8,0.272,0.377,4.7,5.3
49,01/16/25 07:20:00,,,,,,,,,,,0.164,0.043,7.3,6.8,3.6,0.067,6.0,5.3,8.9,7.9,7.0,0.068,4.9,9.4,0.208,0.048,0.100,6.4,6.0,0.100,0.371,7.5,0.439,7.0,3.6,0.311,5.6,0.382,4.7,2.8,6.3,0.460,6.3,0.281,6.6,3.1,7.3,3.8,0.272,0.377,4.7,5.5
50,01/16/25 07:25:00,,,,,,,,,,,0.164,0.043,7.3,6.8,3.5,0.067,6.0,5.1,8.8,7.9,7.0,0.068,4.8,9.4,0.208,0.048,0.100,6.4,6.0,0.100,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.382,4.7,2.8,6.3,0.460,6.3,0.281,6.6,3.1,7.5,4.0,0.272,0.377,4.7,5.5
51,01/16/25 07:30:00,,,,,,,,,,,0.164,0.043,7.3,6.8,3.5,0.067,6.0,5.1,8.9,7.9,7.0,0.068,4.8,9.4,0.208,0.049,0.100,6.3,6.0,0.100,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.380,4.7,2.8,6.3,0.460,6.3,0.281,6.6,3.2,7.3,3.8,0.272,0.377,4.7,5.3
52,01/16/25 07:35:00,,,,,,,,,,,0.164,0.043,7.3,6.8,3.5,0.067,6.0,5.1,8.8,7.9,7.0,0.068,4.8,9.4,0.208,0.049,0.100,6.3,5.9,0.100,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.382,4.7,2.8,6.3,0.460,6.3,0.281,6.6,3.1,7.3,3.8,0.272,0.377,4.8,5.5
53,01/16/25 07:40:00,,,,,,,,,,,0.164,0.043,7.3,6.8,3.4,0.067,6.0,5.1,8.8,7.9,7.0,0.068,4.6,9.4,0.208,0.048,0.100,6.4,6.0,0.100,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.382,4.6,2.8,6.3,0.460,6.3,0.281,6.6,3.1,7.3,3.8,0.272,0.377,4.7,5.3
54,01/16/25 07:45:00,,,,,,,,,,,0.164,0.043,7.3,6.8,3.4,0.067,6.0,5.0,8.9,7.9,6.9,0.068,4.6,9.4,0.208,0.048,0.100,6.3,5.9,0.099,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.382,4.7,2.8,6.3,0.460,6.5,0.281,6.6,3.1,7.5,3.8,0.272,0.377,4.8,5.3
55,01/16/25 07:50:00,,,,,,,,,,,0.164,0.043,7.3,6.8,3.4,0.067,6.0,5.0,8.8,7.9,6.9,0.068,4.6,9.4,0.208,0.048,0.100,6.3,5.9,0.100,0.371,7.5,0.439,7.0,3.6,0.312,5.7,0.382,4.7,2.8,6.3,0.460,6.5,0.281,6.6,3.1,7.3,3.8,0.272,0.377,4.7,5.5
