Line#,Date,"Water Content (RXW-SMD 21474793:21154590-1), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124508-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-11), *C, Soap","Water Content (RXW-GP4 21474793:21124508-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-10), *C, Soap","Temperature (RXW-GP4 21474793:21124508-6), *C, Soap","Water Content (RXW-GP4 21474793:21124508-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-8), *C, Soap","Water Content (RXW-GP4 21474793:21124508-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-7), *C, Soap","Temperature (RXW-GP4 21474793:21124508-5), *C, Soap","Temperature (RXW-GP4 21474793:21124508-9), *C, Soap","Water Content (RXW-GP4 21474793:21483427-3), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21483427-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21483427-8), *C, Soap","Temperature (RXW-GP4 21474793:21483427-10), *C, Soap","Temperature (RXW-GP4 21474793:21483427-6), *C, Soap","Temperature (RXW-GP4 21474793:21483427-9), *C, Soap","Temperature (RXW-GP4 21474793:21483427-7), *C, Soap","Water Content (RXW-GP4 21474793:21483427-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21483427-11), *C, Soap","Water Content (RXW-GP4 21474793:21483427-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21483427-5), *C, Soap","Water Content (RXW-GP4 21474793:21124505-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-10), *C, Soap","Temperature (RXW-GP4 21474793:21124505-5), *C, Soap","Temperature (RXW-GP4 21474793:21124505-11), *C, Soap","Temperature (RXW-GP4 21474793:21124505-6), *C, Soap","Water Content (RXW-GP4 21474793:21124505-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124505-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-7), *C, Soap","Temperature (RXW-GP4 21474793:21124505-8), *C, Soap","Temperature (RXW-GP4 21474793:21124502-6), *C, Soap","Temperature (RXW-GP4 21474793:21124502-10), *C, Soap","Temperature (RXW-GP4 21474793:21124502-9), *C, Soap","Water Content (RXW-GP4 21474793:21124502-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-7), *C, Soap","Water Content (RXW-GP4 21474793:21124502-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-11), *C, Soap","Water Content (RXW-GP4 21474793:21124502-4), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124502-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-5), *C, Soap","Temperature (RXW-GP4 21474793:21124502-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-6), *C, Soap","Water Content (RXW-GP4 21474793:21124506-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-9), *C, Soap","Temperature (RXW-GP4 21474793:21124506-5), *C, Soap","Water Content (RXW-GP4 21474793:21124506-1), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-7), *C, Soap","Temperature (RXW-GP4 21474793:21124506-10), *C, Soap","Temperature (RXW-GP4 21474793:21124506-11), *C, Soap"
11,02/04/23 05:55:00,-0.5326,0.345,6.6,0.417,6.5,6.1,0.224,6.0,0.364,6.1,5.0,6.0,0.175,0.082,6.0,6.5,6.0,6.3,7.0,0.334,6.8,0.051,5.0,0.364,5.6,0.144,5.8,4.2,6.3,5.5,0.151,0.242,5.3,5.2,4.5,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.8,3.6,5.8,6.1,0.379,5.5,4.3,0.169,0.265,0.318,6.2,5.8,6.0
12,02/04/23 06:00:00,-0.5326,0.345,6.6,0.417,6.5,6.0,0.224,6.0,0.364,6.1,5.0,6.0,0.175,0.082,6.0,6.5,6.0,6.3,7.0,0.334,6.8,0.051,5.0,0.364,5.6,0.144,5.8,4.2,6.5,5.5,0.151,0.242,5.3,5.2,4.5,4.8,4.0,0.146,3.5,0.049,5.3,0.222,0.082,3.7,3.7,6.0,6.1,0.379,5.5,4.3,0.169,0.265,0.320,6.1,5.8,6.1
13,02/04/23 06:05:00,-0.5306,0.345,6.6,0.417,6.5,6.0,0.224,6.0,0.362,6.1,5.0,6.0,0.175,0.082,6.0,6.5,6.0,6.3,7.0,0.334,6.8,0.051,5.0,0.364,5.6,0.144,5.8,4.1,6.5,5.5,0.151,0.242,5.3,5.2,4.3,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.7,3.7,6.0,6.1,0.379,5.5,4.2,0.169,0.265,0.320,6.1,5.8,6.0
14,02/04/23 06:10:00,-0.5306,0.345,6.6,0.417,6.5,6.0,0.224,6.1,0.364,6.1,4.8,6.0,0.175,0.082,6.0,6.5,6.0,6.3,7.0,0.334,6.8,0.051,4.5,0.364,5.6,0.144,5.8,4.1,6.3,5.3,0.151,0.242,5.5,5.2,4.3,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.7,3.7,6.0,6.1,0.379,5.5,4.2,0.169,0.265,0.318,6.1,5.8,6.1
15,02/04/23 06:15:00,-0.5306,0.345,6.6,0.417,6.5,6.0,0.224,6.0,0.364,6.1,4.8,6.0,0.175,0.082,6.0,6.5,6.0,6.3,7.0,0.334,7.0,0.051,4.5,0.364,5.6,0.144,5.8,4.0,6.5,5.3,0.151,0.242,5.3,5.2,4.3,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.7,3.6,6.0,6.1,0.379,5.5,4.2,0.169,0.265,0.318,6.1,5.8,6.0
16,02/04/23 06:20:00,-0.5326,0.345,6.6,0.417,6.5,5.8,0.224,6.1,0.364,6.1,4.7,6.0,0.175,0.082,6.0,6.5,6.0,6.5,7.0,0.334,6.8,0.051,4.5,0.364,5.6,0.144,5.8,4.0,6.3,5.3,0.151,0.242,5.3,5.2,4.3,5.0,4.0,0.146,3.5,0.049,5.3,0.222,0.082,3.6,3.7,6.0,6.1,0.379,5.5,4.1,0.169,0.265,0.320,6.2,5.8,6.0
17,02/04/23 06:25:00,-0.5346,0.345,6.6,0.417,6.5,5.8,0.224,6.1,0.364,6.1,4.7,6.0,0.175,0.082,6.0,6.5,6.0,6.3,7.0,0.334,6.8,0.051,4.5,0.364,5.6,0.144,5.8,4.0,6.5,5.3,0.151,0.242,5.3,5.2,4.3,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.6,3.7,6.0,6.0,0.379,5.5,4.1,0.169,0.265,0.320,6.2,5.8,6.1
18,02/04/23 06:30:00,-0.5346,0.345,6.6,0.417,6.5,5.8,0.224,6.0,0.365,6.1,4.7,6.0,0.175,0.082,6.0,6.5,6.0,6.3,7.0,0.334,6.8,0.051,4.5,0.364,5.6,0.144,5.8,3.8,6.5,5.3,0.151,0.242,5.3,5.2,4.3,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.6,3.7,6.0,5.8,0.379,5.5,4.0,0.169,0.265,0.318,6.1,5.8,6.1
19,02/04/23 06:35:00,-0.5326,0.345,6.6,0.417,6.5,5.8,0.224,6.1,0.365,6.1,4.6,6.0,0.175,0.082,6.0,6.5,6.0,6.5,7.0,0.334,6.8,0.051,4.5,0.364,5.6,0.144,5.8,3.8,6.5,5.3,0.151,0.242,5.5,5.2,4.2,4.8,4.0,0.146,3.5,0.049,5.3,0.222,0.082,3.5,3.7,6.0,6.0,0.379,5.5,4.0,0.169,0.265,0.318,6.1,5.8,6.1
20,02/04/23 06:40:00,-0.5346,0.345,6.6,0.417,6.5,5.8,0.224,6.1,0.365,6.1,4.6,6.0,0.175,0.082,6.0,6.5,6.0,6.5,7.0,0.334,6.8,0.051,4.5,0.364,5.6,0.144,5.8,3.8,6.5,5.3,0.151,0.242,5.3,5.2,4.2,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.5,3.7,6.0,5.8,0.379,5.5,4.0,0.169,0.265,0.318,6.2,5.8,6.0
21,02/04/23 06:45:00,-0.5346,0.345,6.6,0.417,6.5,5.8,0.224,6.1,0.364,6.1,4.6,6.0,0.175,0.082,6.0,6.5,6.0,6.5,7.0,0.334,6.8,0.051,4.5,0.364,5.6,0.144,5.8,3.7,6.5,5.2,0.151,0.242,5.3,5.2,4.2,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.3,3.7,6.0,5.7,0.379,5.5,4.0,0.169,0.265,0.320,6.1,5.8,6.0
22,02/04/23 06:50:00,-0.5346,0.345,6.6,0.417,6.5,5.7,0.224,6.1,0.364,6.1,4.6,6.0,0.175,0.082,6.0,6.5,6.0,6.5,6.5,0.334,6.8,0.051,4.5,0.364,5.6,0.144,5.8,3.7,6.5,5.2,0.151,0.242,5.3,5.2,4.2,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.5,3.7,6.0,5.7,0.379,5.5,3.8,0.169,0.264,0.320,6.1,5.8,6.0
23,02/04/23 06:55:00,-0.5306,0.345,6.6,0.417,6.5,5.7,0.224,6.1,0.364,6.1,4.5,6.0,0.175,0.082,6.0,6.5,6.0,6.5,7.0,0.334,6.8,0.051,4.5,0.364,5.6,0.144,5.8,3.7,6.5,5.2,0.151,0.242,5.3,5.2,4.2,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.3,3.7,6.0,5.7,0.379,5.5,3.8,0.169,0.264,0.320,6.1,5.8,6.0
24,02/04/23 07:00:00,-0.5267,0.345,6.6,0.417,6.5,5.7,0.224,6.1,0.364,6.1,4.3,6.0,0.175,0.082,6.0,6.5,6.0,6.5,7.0,0.334,6.8,0.051,4.5,0.364,5.6,0.144,5.8,3.7,6.5,5.2,0.151,0.242,5.5,5.2,4.1,4.8,4.0,0.146,3.6,0.049,5.5,0.222,0.082,3.3,3.7,6.0,5.7,0.379,5.5,3.7,0.169,0.264,0.320,6.1,5.8,6.0
25,02/04/23 07:05:00,-0.5287,0.345,6.6,0.417,6.5,5.6,0.224,6.1,0.364,6.1,4.3,6.0,0.175,0.082,6.0,6.5,6.0,6.5,7.0,0.334,6.8,0.051,4.5,0.364,5.6,0.144,5.8,3.6,6.5,5.2,0.151,0.242,5.3,5.2,4.1,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.3,3.7,6.0,5.7,0.379,5.5,3.7,0.169,0.264,0.320,6.1,5.8,6.0
26,02/04/23 07:10:00,-0.5326,0.345,6.6,0.417,6.5,5.6,0.224,6.1,0.364,6.1,4.3,6.0,0.175,0.082,6.0,6.5,6.0,6.5,7.0,0.334,6.8,0.051,4.5,0.364,5.6,0.144,5.8,3.6,6.5,5.2,0.151,0.242,5.5,5.2,4.1,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.3,3.7,6.0,5.6,0.379,5.5,3.7,0.169,0.264,0.320,6.1,5.8,6.1
27,02/04/23 07:15:00,-0.5386,0.345,6.6,0.417,6.5,5.6,0.224,6.1,0.365,6.1,4.3,6.0,0.175,0.082,6.0,6.5,6.0,6.5,7.0,0.334,6.8,0.051,4.5,0.364,5.6,0.144,5.8,3.5,6.5,5.1,0.151,0.242,5.3,5.2,4.1,5.0,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.2,3.7,6.0,5.6,0.379,5.5,3.7,0.169,0.264,0.320,6.1,5.8,6.1
28,02/04/23 07:20:00,-0.5466,0.345,6.6,0.417,6.5,5.6,0.224,6.1,0.364,6.1,4.2,6.0,0.175,0.082,6.0,6.5,6.0,6.5,7.0,0.334,6.8,0.051,4.5,0.364,5.6,0.144,5.8,3.5,6.5,5.1,0.151,0.242,5.5,5.2,4.1,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.2,3.7,6.0,5.6,0.379,5.5,3.7,0.169,0.264,0.320,6.1,6.0,6.0
29,02/04/23 07:25:00,-0.5546,0.345,6.6,0.417,6.5,5.6,0.224,6.1,0.365,6.1,4.2,6.0,0.175,0.082,6.0,6.5,5.5,6.5,7.0,0.334,6.8,0.051,4.0,0.364,5.6,0.144,5.8,3.5,6.5,5.1,0.151,0.242,5.5,5.2,4.0,4.8,4.0,0.146,3.5,0.049,5.3,0.222,0.082,3.2,3.7,6.0,5.6,0.379,5.5,3.6,0.169,0.264,0.320,6.1,5.8,6.1
30,02/04/23 07:30:00,-0.5567,0.345,6.6,0.417,6.5,5.6,0.224,6.1,0.365,6.1,4.2,6.0,0.175,0.082,6.0,6.5,5.5,6.5,7.0,0.334,6.8,0.051,4.0,0.364,5.6,0.144,5.8,3.5,6.5,5.1,0.151,0.242,5.5,5.2,4.0,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.2,3.8,6.0,5.6,0.379,5.5,3.6,0.169,0.264,0.320,6.1,5.8,6.1
31,02/04/23 07:35:00,-0.5526,0.345,6.6,0.417,6.5,5.5,0.224,6.1,0.364,6.1,4.2,6.0,0.175,0.082,6.0,6.5,5.5,6.5,6.5,0.334,6.8,0.051,4.0,0.364,5.8,0.144,5.8,3.5,6.3,5.0,0.151,0.242,5.5,5.2,4.0,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.2,3.7,6.0,5.5,0.379,5.5,3.6,0.169,0.264,0.320,6.1,5.8,6.1
32,02/04/23 07:40:00,-0.5506,0.345,6.6,0.417,6.5,5.6,0.224,6.1,0.364,6.1,4.1,6.0,0.175,0.082,6.0,6.5,5.5,6.5,6.5,0.334,6.8,0.051,4.0,0.364,5.6,0.144,5.8,3.3,6.3,5.0,0.151,0.242,5.3,5.2,4.0,5.0,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.1,3.7,6.1,5.5,0.379,5.5,3.5,0.169,0.264,0.318,6.1,6.0,6.0
33,02/04/23 07:45:00,-0.5546,0.345,6.6,0.417,6.5,5.5,0.224,6.1,0.365,6.1,4.1,6.0,0.175,0.082,6.0,6.5,5.5,6.5,6.5,0.334,7.0,0.051,4.0,0.364,5.6,0.144,5.8,3.3,6.5,5.0,0.151,0.242,5.3,5.3,4.0,5.0,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.1,3.7,6.0,5.5,0.379,5.5,3.6,0.169,0.264,0.318,6.0,6.0,6.1
34,02/04/23 07:50:00,-0.5526,0.345,6.6,0.417,6.5,5.5,0.224,6.1,0.364,6.1,4.0,6.0,0.175,0.082,6.0,6.5,5.5,6.5,6.5,0.334,6.8,0.051,4.0,0.364,5.6,0.144,5.8,3.3,6.5,5.0,0.151,0.242,5.5,5.2,3.8,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.1,3.7,6.0,5.3,0.379,5.5,3.5,0.169,0.264,0.317,6.1,5.8,6.1
35,02/04/23 07:55:00,-0.5526,0.345,6.6,0.417,6.5,5.5,0.224,6.1,0.365,6.1,4.0,6.0,0.175,0.082,6.0,6.5,5.5,6.5,6.5,0.334,6.8,0.051,4.0,0.364,5.6,0.144,5.8,3.3,6.5,5.0,0.151,0.242,5.3,5.3,3.8,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.1,3.7,6.0,5.3,0.379,5.5,3.5,0.169,0.264,0.318,6.0,6.0,6.0
36,02/04/23 08:00:00,-0.5546,0.345,6.6,0.417,6.5,5.5,0.224,6.1,0.365,6.1,4.0,6.0,0.175,0.082,6.0,6.5,5.5,6.5,6.5,0.334,6.8,0.051,4.0,0.364,5.6,0.144,5.8,3.2,6.5,4.8,0.151,0.242,5.3,5.3,3.8,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.1,3.7,6.0,5.3,0.379,5.5,3.5,0.169,0.264,0.318,6.0,5.8,6.0
37,02/04/23 08:05:00,-0.5607,0.345,6.6,0.417,6.5,5.3,0.224,6.1,0.364,6.1,4.0,6.0,0.175,0.082,6.0,6.5,5.5,6.5,6.5,0.334,6.8,0.051,4.0,0.364,5.6,0.144,5.8,3.2,6.5,5.0,0.151,0.242,5.3,5.3,3.8,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.1,3.7,6.0,5.3,0.379,5.5,3.5,0.169,0.264,0.320,6.0,6.0,6.1
38,02/04/23 08:10:00,-0.5607,0.345,6.6,0.417,6.5,5.3,0.224,6.1,0.364,6.1,4.0,6.0,0.175,0.082,6.0,6.5,5.5,6.5,6.5,0.334,6.8,0.051,4.0,0.364,5.6,0.144,5.8,3.2,6.5,5.0,0.151,0.242,5.3,5.3,3.8,5.0,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.1,3.8,6.0,5.2,0.379,5.5,3.3,0.169,0.264,0.318,6.0,6.0,6.0
39,02/04/23 08:15:00,-0.5689,0.345,6.6,0.417,6.5,5.3,0.224,6.1,0.364,6.0,3.8,6.0,0.175,0.082,6.0,6.5,5.5,6.5,6.5,0.334,6.8,0.051,4.0,0.364,5.6,0.144,5.8,3.2,6.5,4.8,0.151,0.242,5.3,5.3,3.7,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.0,3.7,6.0,5.2,0.379,5.5,3.3,0.169,0.264,0.320,6.0,5.8,6.1
40,02/04/23 08:20:00,-0.5607,0.345,6.6,0.417,6.5,5.3,0.224,6.1,0.364,6.1,3.8,6.0,0.175,0.082,6.0,6.5,5.5,6.5,6.5,0.334,6.8,0.051,4.0,0.364,5.6,0.144,5.8,3.1,6.5,4.8,0.151,0.242,5.3,5.3,3.8,5.0,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.0,3.8,6.1,5.2,0.379,5.6,3.3,0.169,0.264,0.320,6.0,5.8,6.0
41,02/04/23 08:25:00,-0.5648,0.345,6.6,0.417,6.5,5.3,0.224,6.1,0.364,6.1,3.7,6.0,0.175,0.082,6.0,6.5,5.5,6.5,6.5,0.334,6.8,0.051,4.0,0.364,5.6,0.144,5.8,3.2,6.5,4.8,0.151,0.242,5.3,5.3,3.7,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.0,3.8,6.0,5.2,0.379,5.5,3.3,0.169,0.264,0.318,6.0,5.8,6.0
42,02/04/23 08:30:00,-0.5689,0.345,6.6,0.417,6.5,5.2,0.224,6.2,0.364,6.1,3.8,6.0,0.175,0.082,6.0,6.5,5.5,6.5,6.5,0.334,6.8,0.051,4.0,0.364,5.6,0.144,5.8,3.1,6.5,4.8,0.151,0.242,5.3,5.3,3.7,5.0,4.0,0.146,3.5,0.049,5.5,0.222,0.082,3.0,3.7,6.1,5.2,0.380,5.5,3.3,0.169,0.264,0.318,6.0,5.8,6.0
43,02/04/23 08:35:00,-0.5689,0.345,6.6,0.417,6.5,5.2,0.224,6.1,0.365,6.1,3.7,6.0,0.175,0.082,6.0,6.5,5.5,6.5,6.5,0.334,6.8,0.051,4.0,0.364,5.6,0.144,5.8,3.1,6.5,4.8,0.151,0.242,5.3,5.3,3.7,5.0,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.0,3.7,6.0,5.2,0.379,5.5,3.2,0.169,0.264,0.318,5.8,6.0,6.1
