Line#,Date,"Water Content (RXW-GP4 21474793:21124508-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-11), *C, Soap","Water Content (RXW-GP4 21474793:21124508-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-10), *C, Soap","Temperature (RXW-GP4 21474793:21124508-6), *C, Soap","Water Content (RXW-GP4 21474793:21124508-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-8), *C, Soap","Water Content (RXW-GP4 21474793:21124508-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-7), *C, Soap","Temperature (RXW-GP4 21474793:21124508-5), *C, Soap","Temperature (RXW-GP4 21474793:21124508-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-10), *C, Soap","Temperature (RXW-GP4 21474793:21124505-5), *C, Soap","Temperature (RXW-GP4 21474793:21124505-11), *C, Soap","Temperature (RXW-GP4 21474793:21124505-6), *C, Soap","Water Content (RXW-GP4 21474793:21124505-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124505-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-7), *C, Soap","Temperature (RXW-GP4 21474793:21124505-8), *C, Soap","Temperature (RXW-GP4 21474793:21124502-6), *C, Soap","Temperature (RXW-GP4 21474793:21124502-10), *C, Soap","Temperature (RXW-GP4 21474793:21124502-9), *C, Soap","Water Content (RXW-GP4 21474793:21124502-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-7), *C, Soap","Water Content (RXW-GP4 21474793:21124502-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-11), *C, Soap","Water Content (RXW-GP4 21474793:21124502-4), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124502-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-5), *C, Soap","Temperature (RXW-GP4 21474793:21124502-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-6), *C, Soap","Water Content (RXW-GP4 21474793:21124506-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-9), *C, Soap","Temperature (RXW-GP4 21474793:21124506-5), *C, Soap","Water Content (RXW-GP4 21474793:21124506-1), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-7), *C, Soap","Temperature (RXW-GP4 21474793:21124506-10), *C, Soap","Temperature (RXW-GP4 21474793:21124506-11), *C, Soap"
13,01/09/24 16:50:00,0.413,7.5,0.472,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.1,0.334,6.3,0.278,6.8,1.5,7.6,2.7,0.278,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.3,5.6,3.1,0.000,0.0,1.8,0.401,0.594,0.000,4.5,0.0,0.0
14,01/09/24 16:55:00,0.413,7.5,0.472,7.0,2.7,0.338,5.3,0.392,4.2,1.8,6.0,0.334,6.3,0.278,6.8,1.5,7.6,2.7,0.278,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.3,5.6,3.1,0.000,0.0,1.8,0.400,0.594,0.000,4.5,0.0,0.0
15,01/09/24 17:00:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.2,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.6,2.8,0.278,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.7,3.1,0.000,0.0,1.8,0.400,0.594,0.000,4.5,0.0,0.0
16,01/09/24 17:05:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.6,2.8,0.278,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.3,5.6,3.1,0.000,0.0,1.8,0.400,0.594,0.000,4.5,0.0,0.0
17,01/09/24 17:10:00,0.413,7.5,0.472,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.1,0.334,6.3,0.278,6.8,1.3,7.6,2.7,0.278,0.324,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.7,3.1,0.640,6.3,1.8,0.400,0.594,0.637,4.5,7.0,7.6
18,01/09/24 17:15:00,0.413,7.5,0.472,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.1,0.334,6.3,0.278,6.8,1.3,7.6,2.8,0.278,0.324,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.3,5.7,3.1,0.640,6.3,1.8,0.400,0.594,0.637,4.5,7.0,7.6
19,01/09/24 17:20:00,0.413,7.5,0.472,7.0,2.7,0.338,5.3,0.392,4.2,1.8,6.1,0.334,6.3,0.278,6.8,1.5,7.6,2.7,0.278,0.322,4.2,5.1,2.0,6.5,5.3,0.280,3.0,0.161,7.1,0.340,0.216,1.5,4.3,5.6,3.1,0.640,6.3,1.8,0.400,0.594,0.637,4.5,7.0,7.6
20,01/09/24 17:25:00,0.413,7.5,0.472,7.0,2.7,0.338,5.3,0.394,4.2,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.6,2.8,0.278,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.7,3.1,0.640,6.1,1.8,0.400,0.594,0.637,4.5,7.0,7.6
21,01/09/24 17:30:00,0.413,7.5,0.472,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.1,0.334,6.3,0.278,6.8,1.3,7.6,2.8,0.278,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.3,5.6,3.1,0.000,0.0,1.8,0.400,0.594,0.000,4.5,0.0,0.0
22,01/09/24 17:35:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.6,2.8,0.278,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.6,3.1,0.000,0.0,1.8,0.400,0.594,0.000,4.3,0.0,0.0
23,01/09/24 17:40:00,0.413,7.5,0.472,7.0,2.7,0.338,5.3,0.392,4.2,1.8,6.1,0.334,6.3,0.278,6.8,1.5,7.6,2.8,0.278,0.322,4.2,5.2,2.0,6.3,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.3,5.6,3.1,0.640,6.3,1.7,0.400,0.594,0.637,4.5,7.0,7.6
24,01/09/24 17:45:00,0.413,7.5,0.472,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.1,0.334,6.3,0.278,6.8,1.5,7.6,2.8,0.278,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.0,0.340,0.216,1.5,4.3,5.6,3.1,0.640,6.3,1.8,0.400,0.593,0.637,4.5,7.0,7.6
25,01/09/24 17:50:00,0.413,7.5,0.472,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.6,2.7,0.278,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.7,3.1,0.000,0.0,1.8,0.400,0.593,0.000,4.5,0.0,0.0
26,01/09/24 17:55:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.1,0.334,6.3,0.278,6.8,1.3,7.6,2.8,0.278,0.322,4.1,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.0,0.340,0.216,1.5,4.2,5.6,3.1,0.640,6.1,1.8,0.400,0.593,0.637,4.5,7.0,7.6
27,01/09/24 18:00:00,0.413,7.5,0.474,7.0,2.6,0.338,5.3,0.392,4.1,1.8,6.1,0.334,6.3,0.277,6.8,1.3,7.6,2.8,0.278,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.0,0.340,0.216,1.5,4.2,5.6,3.1,0.000,0.0,1.8,0.400,0.593,0.000,4.5,0.0,0.0
28,01/09/24 18:05:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.6,1.5,7.6,2.8,0.278,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.6,3.1,0.000,0.0,1.8,0.400,0.593,0.000,4.5,0.0,0.0
29,01/09/24 18:10:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.2,1.8,6.0,0.334,6.3,0.277,6.8,1.5,7.6,2.7,0.278,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.0,0.340,0.216,1.5,4.2,5.6,3.1,0.640,6.3,1.8,0.400,0.593,0.637,4.5,7.0,7.6
30,01/09/24 18:15:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.5,7.6,2.8,0.278,0.322,4.2,5.1,2.0,6.3,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.3,5.6,3.1,0.640,6.3,1.8,0.400,0.593,0.637,4.3,7.0,7.6
31,01/09/24 18:20:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.277,6.8,1.3,7.6,2.7,0.278,0.322,4.2,5.1,2.0,6.5,5.3,0.277,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.7,3.1,0.640,6.3,1.8,0.400,0.593,0.637,4.5,7.0,7.6
32,01/09/24 18:25:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.2,1.8,6.0,0.334,6.3,0.278,6.6,1.5,7.6,2.8,0.278,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.6,3.1,0.640,6.1,1.7,0.400,0.593,0.637,4.5,7.0,7.6
33,01/09/24 18:30:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.6,2.7,0.278,0.322,4.2,5.1,2.0,6.5,5.3,0.277,3.0,0.161,7.1,0.340,0.216,1.5,4.3,5.6,3.1,0.000,0.0,1.8,0.400,0.593,0.000,4.5,0.0,0.0
34,01/09/24 18:35:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.6,2.7,0.278,0.322,4.2,5.1,2.0,6.5,5.3,0.277,3.0,0.161,7.1,0.340,0.216,1.5,4.3,5.6,3.0,0.640,6.3,1.8,0.400,0.593,0.637,4.3,7.0,7.6
35,01/09/24 18:40:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.5,7.6,2.7,0.278,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.0,0.340,0.216,1.5,4.2,5.6,3.1,0.000,0.0,1.8,0.400,0.593,0.000,4.3,0.0,0.0
36,01/09/24 18:45:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.6,2.7,0.278,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.0,0.340,0.216,1.5,4.2,5.6,3.1,0.640,6.3,1.8,0.400,0.593,0.637,4.5,7.0,7.6
37,01/09/24 18:50:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.5,7.6,2.8,0.277,0.324,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.6,3.0,0.640,6.3,1.8,0.400,0.593,0.637,4.5,7.0,7.8
38,01/09/24 18:55:00,0.413,7.5,0.474,7.0,2.6,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.6,2.7,0.277,0.324,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.0,0.340,0.216,1.5,4.2,5.6,3.0,0.000,0.0,1.8,0.400,0.593,0.000,4.5,0.0,0.0
39,01/09/24 19:00:00,0.413,7.5,0.474,7.0,2.7,0.338,5.2,0.394,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.5,7.6,2.8,0.277,0.322,4.2,5.1,2.0,6.5,5.3,0.277,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.6,3.1,0.640,6.3,1.8,0.400,0.593,0.637,4.5,7.0,7.6
40,01/09/24 19:05:00,0.413,7.5,0.474,7.0,2.6,0.338,5.2,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.5,7.6,2.7,0.277,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.0,0.340,0.217,1.5,4.2,5.6,3.1,0.640,6.3,1.8,0.400,0.593,0.637,4.3,7.0,7.6
41,01/09/24 19:10:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.6,2.8,0.277,0.322,4.1,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.0,0.340,0.216,1.5,4.2,5.6,3.1,0.000,0.0,1.8,0.400,0.593,0.000,4.5,0.0,0.0
42,01/09/24 19:15:00,0.413,7.5,0.474,7.0,2.6,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.5,7.6,2.7,0.277,0.322,4.1,5.1,2.0,6.3,5.3,0.278,3.0,0.161,7.0,0.340,0.216,1.5,4.2,5.6,3.0,0.000,0.0,1.8,0.400,0.593,0.000,4.3,0.0,0.0
43,01/09/24 19:20:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.5,7.6,2.7,0.277,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.218,1.5,4.2,5.6,3.1,0.640,6.1,1.8,0.400,0.593,0.637,4.5,7.0,7.6
44,01/09/24 19:25:00,0.413,7.5,0.474,7.0,2.7,0.338,5.2,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.6,1.5,7.6,2.7,0.277,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.218,1.5,4.3,5.6,3.0,0.640,6.3,1.8,0.400,0.593,0.637,4.5,7.0,7.6
45,01/09/24 19:30:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.6,1.5,7.6,2.7,0.277,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.0,0.340,0.218,1.5,4.2,5.6,3.0,0.640,6.3,1.8,0.400,0.593,0.637,4.3,7.0,7.6
46,01/09/24 19:35:00,0.413,7.5,0.474,7.0,2.7,0.338,5.2,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.5,7.5,2.7,0.277,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.0,0.340,0.218,1.5,4.3,5.6,3.1,0.640,6.1,1.8,0.400,0.593,0.637,4.3,7.0,7.6
47,01/09/24 19:40:00,0.413,7.5,0.474,7.0,2.6,0.338,5.2,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.5,2.8,0.277,0.324,4.2,5.1,2.0,6.5,5.3,0.277,3.0,0.161,7.1,0.340,0.218,1.5,4.3,5.6,3.0,0.000,0.0,1.8,0.400,0.593,0.000,4.3,0.0,0.0
48,01/09/24 19:45:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.2,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.6,2.8,0.277,0.324,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.218,1.5,4.2,5.6,3.0,0.640,6.1,1.8,0.400,0.592,0.637,4.3,7.0,7.6
49,01/09/24 19:50:00,0.413,7.5,0.474,7.0,2.6,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.5,7.6,2.7,0.277,0.322,4.2,5.2,2.0,6.5,5.3,0.277,3.0,0.161,7.1,0.340,0.218,1.5,4.2,5.6,3.0,0.640,6.1,1.8,0.400,0.592,0.637,4.3,7.0,7.6
50,01/09/24 19:55:00,0.413,7.5,0.474,7.0,2.6,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.6,1.3,7.6,2.7,0.277,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.218,1.5,4.2,5.6,3.0,0.640,6.3,1.8,0.400,0.592,0.637,4.3,7.0,7.6
51,01/09/24 20:00:00,0.413,7.5,0.474,7.0,2.6,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.5,7.5,2.8,0.277,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.218,1.5,4.2,5.6,3.1,0.000,0.0,1.8,0.400,0.592,0.000,4.3,0.0,0.0
52,01/09/24 20:05:00,0.413,7.5,0.474,7.0,2.6,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.5,7.6,2.7,0.277,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.218,1.5,4.2,5.6,3.0,0.640,6.3,1.8,0.400,0.592,0.637,4.3,7.0,7.6
53,01/09/24 20:10:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.6,1.5,7.5,2.7,0.277,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.0,0.340,0.218,1.5,4.2,5.6,3.1,0.640,6.1,1.8,0.400,0.592,0.637,4.3,7.0,7.6
54,01/09/24 20:15:00,0.413,7.5,0.472,7.0,2.7,0.338,5.2,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.6,1.5,7.6,2.8,0.277,0.322,4.2,5.1,2.0,6.5,5.3,0.277,3.0,0.161,7.0,0.340,0.218,1.5,4.3,5.6,3.0,0.000,0.0,1.8,0.400,0.592,0.000,4.3,0.0,0.0
55,01/09/24 20:20:00,0.413,7.5,0.472,7.0,2.7,0.338,5.2,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.5,7.6,2.7,0.277,0.324,4.2,5.2,2.0,6.3,5.3,0.278,3.0,0.161,7.1,0.340,0.217,1.5,4.2,5.6,3.1,0.000,0.0,1.8,0.400,0.592,0.000,4.3,0.0,0.0
56,01/09/24 20:25:00,0.413,7.5,0.472,7.0,2.6,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.8,1.5,7.5,2.8,0.277,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.218,1.5,4.2,5.6,3.0,0.640,6.1,1.8,0.400,0.592,0.637,4.3,7.0,7.6
57,01/09/24 20:30:00,0.413,7.5,0.472,7.0,2.6,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.278,6.6,1.5,7.6,2.8,0.277,0.322,4.2,5.1,2.0,6.5,5.3,0.277,3.0,0.161,7.0,0.340,0.217,1.5,4.2,5.6,3.0,0.640,6.3,1.8,0.400,0.592,0.637,4.3,7.0,7.6
58,01/09/24 20:35:00,0.413,7.5,0.472,7.0,2.7,0.338,5.2,0.392,4.1,1.8,6.0,0.334,6.3,0.279,6.6,1.5,7.5,2.7,0.277,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.0,0.340,0.217,1.5,4.2,5.6,3.0,0.000,0.0,1.8,0.400,0.592,0.000,4.3,0.0,0.0
