Line#,Date,"Water Content (RXW-GP4A 21474793:22221785-3), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22221785-4), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22221785-9), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-10), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-5), *C, Soap","Water Content (RXW-GP4A 21474793:22221785-2), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22221785-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22221785-8), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-6), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-7), *C, Soap","Water Content (RXW-GP4A 21474793:22125551-4), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22125551-3), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22094718-10), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-9), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-5), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22094718-8), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-6), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-9), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-8), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-7), *C, Soap","Water Content (RXW-GP4A 21474793:22125551-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22125551-5), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-10), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-4), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22094718-2), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22125551-2), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22125551-6), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-7), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-3), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124508-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-11), *C, Soap","Water Content (RXW-GP4 21474793:21124508-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-10), *C, Soap","Temperature (RXW-GP4 21474793:21124508-6), *C, Soap","Water Content (RXW-GP4 21474793:21124508-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-8), *C, Soap","Water Content (RXW-GP4 21474793:21124508-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-7), *C, Soap","Temperature (RXW-GP4 21474793:21124508-5), *C, Soap","Temperature (RXW-GP4 21474793:21124508-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-10), *C, Soap","Temperature (RXW-GP4 21474793:21124505-5), *C, Soap","Temperature (RXW-GP4 21474793:21124505-11), *C, Soap","Temperature (RXW-GP4 21474793:21124505-6), *C, Soap","Water Content (RXW-GP4 21474793:21124505-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124505-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-7), *C, Soap","Temperature (RXW-GP4 21474793:21124505-8), *C, Soap"
11,01/28/25 05:10:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.6,1.4,2.4,0.155,0.038,6.8,6.3,4.3,0.070,5.3,4.8,8.4,7.1,6.1,0.068,5.5,9.0,0.214,0.049,0.100,6.1,5.1,0.095,0.374,7.0,0.439,6.5,3.6,0.321,5.5,0.382,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
12,01/28/25 05:15:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.155,0.038,6.6,6.3,4.3,0.070,5.3,4.8,8.4,7.1,6.1,0.069,5.5,8.9,0.214,0.049,0.100,6.1,5.1,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.5,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
13,01/28/25 05:20:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.155,0.038,6.8,6.3,4.3,0.070,5.3,4.8,8.4,7.1,6.1,0.069,5.5,8.9,0.215,0.050,0.100,6.1,5.0,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.6,3.5,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
14,01/28/25 05:25:00,0.146,0.113,5.1,6.3,0.3,0.000,0.000,3.5,1.4,2.4,0.155,0.038,6.8,6.3,4.3,0.070,5.3,4.8,8.4,7.1,6.1,0.069,5.4,8.9,0.214,0.049,0.100,6.0,5.0,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.3,0.384,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
15,01/28/25 05:30:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.155,0.038,6.6,6.3,4.1,0.070,5.3,4.8,8.3,7.1,6.1,0.069,5.4,8.9,0.214,0.049,0.100,6.0,5.1,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
16,01/28/25 05:35:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.6,1.4,2.4,0.155,0.038,6.6,6.3,4.1,0.071,5.3,4.8,8.4,7.1,6.1,0.069,5.4,8.9,0.214,0.049,0.100,6.1,5.0,0.096,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.384,4.7,3.6,6.0,0.452,5.8,0.288,6.0,3.5,6.6,3.7,0.270,0.372,4.5,5.0
17,01/28/25 05:40:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.155,0.038,6.6,6.3,4.0,0.071,5.3,4.8,8.4,7.1,6.1,0.068,5.3,8.9,0.214,0.049,0.100,6.0,5.1,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.384,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
18,01/28/25 05:45:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.3,4.0,0.071,5.3,4.8,8.4,7.3,6.1,0.068,5.3,8.9,0.215,0.050,0.099,6.0,5.0,0.096,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
19,01/28/25 05:50:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.8,6.3,4.0,0.071,5.3,4.8,8.4,7.1,6.1,0.069,5.3,8.9,0.214,0.049,0.099,6.0,5.0,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.6,3.5,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
20,01/28/25 05:55:00,0.146,0.113,5.1,6.4,0.4,0.000,0.000,3.5,1.4,2.4,0.155,0.038,6.8,6.1,3.9,0.071,5.3,4.8,8.4,7.3,6.3,0.069,5.1,9.0,0.214,0.049,0.100,6.0,5.1,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.3,0.382,4.6,3.5,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.3,5.0
21,01/28/25 06:00:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.6,1.4,2.4,0.155,0.038,6.8,6.3,3.9,0.071,5.3,4.8,8.4,7.1,6.1,0.068,5.1,8.9,0.214,0.050,0.100,6.0,5.1,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.3,5.0
22,01/28/25 06:05:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.6,1.4,2.4,0.155,0.038,6.6,6.3,3.9,0.071,5.3,4.6,8.4,7.1,6.1,0.068,5.0,8.9,0.214,0.049,0.099,6.0,5.1,0.095,0.374,7.0,0.439,6.5,3.8,0.321,5.5,0.382,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
23,01/28/25 06:10:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.6,1.4,2.4,0.155,0.038,6.6,6.3,3.9,0.071,5.3,4.6,8.4,7.3,6.3,0.068,5.0,8.9,0.214,0.049,0.100,6.0,5.1,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
24,01/28/25 06:15:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.155,0.038,6.6,6.3,3.9,0.071,5.3,4.6,8.4,7.1,6.3,0.069,5.0,8.9,0.214,0.049,0.100,5.9,5.1,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.7,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
25,01/28/25 06:20:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.1,3.8,0.071,5.3,4.6,8.4,7.3,6.3,0.068,5.0,8.9,0.214,0.049,0.100,5.9,5.0,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.6,3.5,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
26,01/28/25 06:25:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.3,3.8,0.071,5.3,4.6,8.4,7.1,6.3,0.069,4.9,8.9,0.214,0.049,0.099,5.9,5.1,0.095,0.374,7.0,0.439,6.5,3.8,0.321,5.5,0.382,4.6,3.5,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
27,01/28/25 06:30:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.8,6.1,3.8,0.071,5.3,4.6,8.4,7.1,6.1,0.069,4.9,8.9,0.214,0.050,0.099,5.9,5.0,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.6,3.5,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
28,01/28/25 06:35:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.3,3.6,0.071,5.3,4.6,8.4,7.3,6.3,0.068,4.9,8.9,0.214,0.049,0.100,5.9,5.1,0.095,0.374,7.0,0.439,6.5,3.8,0.321,5.5,0.384,4.6,3.5,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
29,01/28/25 06:40:00,0.146,0.113,5.1,6.3,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.3,3.8,0.071,5.4,4.6,8.4,7.3,6.3,0.068,4.8,8.9,0.214,0.049,0.099,5.8,5.1,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.384,4.6,3.5,6.0,0.452,5.8,0.288,6.0,3.2,6.6,3.7,0.270,0.372,4.5,5.0
30,01/28/25 06:45:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.155,0.038,6.6,6.3,3.6,0.071,5.3,4.6,8.4,7.3,6.3,0.068,4.8,8.9,0.214,0.049,0.100,5.9,5.1,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.7,3.5,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
31,01/28/25 06:50:00,0.146,0.113,5.1,6.3,0.4,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.3,3.6,0.071,5.3,4.6,8.4,7.3,6.3,0.068,4.8,8.9,0.214,0.050,0.099,5.8,5.1,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.6,3.5,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
32,01/28/25 06:55:00,0.146,0.113,5.1,6.3,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.3,3.6,0.071,5.3,4.5,8.4,7.3,6.3,0.068,4.8,8.9,0.214,0.049,0.099,5.8,5.1,0.095,0.375,7.0,0.439,6.5,3.8,0.321,5.5,0.382,4.6,3.5,5.8,0.452,5.8,0.288,6.0,3.2,6.6,3.7,0.270,0.372,4.5,5.0
33,01/28/25 07:00:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.8,6.3,3.6,0.071,5.3,4.5,8.4,7.3,6.1,0.068,4.6,8.9,0.214,0.049,0.099,5.8,5.1,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.7,3.5,6.0,0.452,5.8,0.288,6.0,3.2,6.6,3.7,0.270,0.372,4.5,5.0
34,01/28/25 07:05:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.8,6.1,3.5,0.071,5.3,4.5,8.4,7.3,6.3,0.068,4.6,8.9,0.214,0.049,0.099,5.8,5.1,0.096,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.384,4.6,3.5,6.0,0.452,5.8,0.288,6.0,3.2,6.6,3.7,0.270,0.372,4.5,5.0
35,01/28/25 07:10:00,0.146,0.113,5.1,6.4,0.4,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.3,3.5,0.071,5.3,4.5,8.4,7.3,6.3,0.068,4.5,8.9,0.214,0.049,0.099,5.8,5.1,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.7,3.5,6.0,0.452,5.8,0.287,6.0,3.2,6.6,3.8,0.270,0.372,4.5,5.0
36,01/28/25 07:15:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.3,3.5,0.071,5.3,4.5,8.4,7.3,6.3,0.068,4.5,8.9,0.214,0.049,0.099,5.8,5.1,0.095,0.375,7.0,0.439,6.5,3.7,0.321,5.3,0.382,4.7,3.5,6.0,0.452,5.8,0.287,6.0,3.2,6.6,3.7,0.270,0.372,4.5,5.0
37,01/28/25 07:20:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.3,3.5,0.071,5.3,4.5,8.4,7.3,6.3,0.068,4.5,8.9,0.214,0.049,0.099,5.8,5.0,0.095,0.374,7.0,0.439,6.5,3.8,0.321,5.5,0.384,4.7,3.3,5.8,0.452,5.8,0.287,6.0,3.2,6.6,3.7,0.270,0.372,4.5,5.0
38,01/28/25 07:25:00,0.146,0.113,5.1,6.4,0.4,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.8,6.3,3.5,0.071,5.3,4.5,8.3,7.3,6.3,0.068,4.5,8.9,0.214,0.049,0.100,5.8,5.1,0.096,0.375,7.0,0.439,6.5,3.7,0.321,5.5,0.384,4.7,3.3,6.0,0.452,5.8,0.288,6.0,3.2,6.6,3.7,0.270,0.372,4.6,5.0
39,01/28/25 07:30:00,0.146,0.113,5.1,6.3,0.4,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.1,3.4,0.071,5.4,4.4,8.4,7.3,6.3,0.068,4.4,8.9,0.214,0.049,0.099,5.6,5.1,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.6,3.5,6.0,0.452,5.8,0.288,6.0,3.2,6.6,3.7,0.271,0.372,4.5,5.0
40,01/28/25 07:35:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.3,3.4,0.071,5.3,4.4,8.4,7.3,6.3,0.068,4.4,8.9,0.214,0.049,0.099,5.6,5.1,0.096,0.375,7.0,0.439,6.5,3.7,0.321,5.5,0.384,4.7,3.3,6.0,0.452,5.8,0.288,6.0,3.2,6.5,3.7,0.271,0.372,4.5,5.0
41,01/28/25 07:40:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.8,6.1,3.4,0.071,5.3,4.4,8.4,7.3,6.3,0.068,4.4,8.9,0.214,0.049,0.099,5.6,5.1,0.096,0.375,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.6,3.3,6.0,0.452,5.8,0.287,6.0,3.2,6.6,3.7,0.270,0.372,4.5,5.0
42,01/28/25 07:45:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.3,3.4,0.071,5.4,4.4,8.4,7.3,6.3,0.068,4.3,8.9,0.214,0.049,0.099,5.6,5.0,0.096,0.375,7.0,0.439,6.5,3.8,0.320,5.5,0.385,4.7,3.3,5.8,0.452,5.8,0.287,6.0,3.1,6.6,3.8,0.270,0.372,4.5,5.0
43,01/28/25 07:50:00,0.146,0.113,5.1,6.3,0.4,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.3,3.4,0.071,5.3,4.4,8.4,7.3,6.3,0.068,4.3,8.9,0.214,0.049,0.099,5.6,5.0,0.096,0.374,7.0,0.439,6.5,3.8,0.320,5.5,0.384,4.7,3.3,6.0,0.452,5.8,0.287,6.0,3.1,6.6,3.7,0.271,0.372,4.5,5.0
44,01/28/25 07:55:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.3,3.4,0.071,5.3,4.4,8.3,7.3,6.3,0.068,4.3,8.9,0.214,0.049,0.099,5.6,5.1,0.096,0.375,6.8,0.439,6.5,3.7,0.320,5.5,0.384,4.7,3.3,6.0,0.452,5.8,0.287,6.0,3.1,6.6,3.7,0.270,0.372,4.5,5.0
45,01/28/25 08:00:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.6,1.4,2.4,0.156,0.038,6.6,6.3,3.3,0.071,5.3,4.4,8.4,7.3,6.3,0.068,4.3,8.9,0.214,0.049,0.099,5.6,5.0,0.095,0.375,7.0,0.439,6.5,3.8,0.320,5.5,0.382,4.7,3.3,6.0,0.452,5.8,0.287,6.0,3.1,6.6,3.7,0.270,0.372,4.5,5.0
46,01/28/25 08:05:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.1,3.3,0.071,5.4,4.4,8.4,7.3,6.3,0.068,4.3,8.9,0.214,0.049,0.099,5.6,5.1,0.096,0.374,6.8,0.439,6.5,3.8,0.320,5.5,0.384,4.7,3.3,6.0,0.452,5.8,0.287,6.0,3.1,6.6,3.7,0.271,0.372,4.5,5.0
47,01/28/25 08:10:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.156,0.038,6.6,6.3,3.3,0.071,5.4,4.3,8.4,7.3,6.1,0.068,4.1,8.9,0.214,0.049,0.099,5.5,5.0,0.095,0.375,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.7,3.3,6.0,0.452,5.8,0.287,6.0,3.1,6.6,3.7,0.271,0.372,4.5,5.0
